label,sentence1,sentence2
0,"Teresa tirou da bolsa um papel com uma oração, abaixou a cabeça e rezou. ",abaixar a cabeça
1,"Como rapper e telespectador que sou, quero manifestar o meu repúdio a cenas como esta, que, apesar da ótima produção, deixou a desejar no momento em que Kennedy o negro abaixou a cabeça às ofensas partidas de seu senhor feudal. ",abaixar a cabeça
0,"Achei que ele iria morder, então joguei o véu, olhei nos olhos dele e o animal abriu a boca para soltar o rugido",abrir a boca
1,Em nenhum momento nós abrimos a boca contra o ProUni,abrir a boca
0,Às vezes o ambiente tem tantos incentivos que acaba por prejudicar o sono da criança. Ela abre os olhos e entra em pânico,abrir os olhos
1,Acho que o pessoal está começando a abrir os olhos para esse tipo de coisa,abrir os olhos
0,Eu arrumei a casa inteira. Cortei buracos nos quadros e tudo mais,arrumar a casa
1,"Dado esse contexto, mais uma vez foi alargada a janela de oportunidade para que o Brasil arrume a casa",arrumar a casa
0,Fizemos algumas animações específicas para retratar o construtor o trabalhador que bate o martelo e aquele que passa a massa,bater o martelo
1,Digamos que você abre a sessão sem convidar os jurados e bate o martelo antes de ouvir as testemunhas,bater o martelo
0,Um dos pilotos morreu no momento em que caía de paraquedas depois de ejetar-se do avião,cair de paraquedas
1,O Airbnb e os outros sites caíram de paraquedas no meio do olho do furacão,cair de paraquedas
0,A rainha Elizabeth caiu do cavalo e quebrou um osso do pulso esquerdo,cair do cavalo
1,Os que ainda tinham a ilusão de fazer prova de filosofia só com interpretação de texto caíram do cavalo,cair do cavalo
0,"Como um meteorito caído do céu, uma gigantesca peça de Tetris ou um achado arqueológico saído da terra, ele invade o espaço",cair do céu
1,Essas questões ajudam as pessoas a ver que o procedimento científico não cai do céu,cair do céu
0,"Não se esqueça que os mosquitos são comuns, e os donos por vezes deixam a porta aberta enquanto limpa",deixar a porta aberta
1,"O brasileiro deixou a porta aberta para o sueco passar, mas o piloto sueco se precipitou acertando Felipe Massa",deixar a porta aberta
0,Não vai levar meu dinheiro suado e o deixar na mão de um maldito dono de bar,deixar na mão
1,"Posso não parecer rápido, mas minhas pernas nunca me deixaram na mão",deixar na mão
0,"Em humanos, menos de 1% do magnésio está no sangue A maioria está armazenada nos ossos e o resto em tecido conectivo",estar no sangue
1,Acho que mentir está no sangue dessa família,estar no sangue
0,"Antes de começar a guardar as roupas, a estudante costuma fazer uma limpeza geral no armário para tirar toda a poeira.",fazer uma limpeza
1,Moro é um representante da nação. Ele está mostrando que a Polícia Federal está aí para fazer uma limpeza geral na corrupção,fazer uma limpeza
0,É recomendável fechar as portas e janelas de casa para evitar que o gás entre ou sair para uma área externa,fechar as portas
1,Não ter ministras é como fechar as portas para aquilo que lutamos desde os anos 1970,fechar as portas
0,"O melhor exemplo para entendê-la é quando se fecham os olhos e, durante um momento, ainda é possível perceber o ambiente, como se os olhos estivessem abertos",fechar os olhos
1,"Havia, para o então presidente israelense, duas questões em que devemos fechar os olhos e nos entregar: o amor e a paz",fechar os olhos
0,Elas não podem ter ido longe,ir longe
1,"Quércia foi longe demais na encenação, até porque o eleitor já demonstrou, em pleitos anteriores, que sabe distinguir valentia de grosseria.",ir longe
0,Ele tem medo de contágio. É verdade! Cumprimenta uma pessoa e corre pra lavar as mãos. Deve andar com um frasco de álcool gel no bolso,lavar as mãos
1,"Trata-se de uma tendência que já apareceu no primeiro turno, em 2 de outubro, quando 13,18% dos votantes em todo o país lavou as mãos e preferiu não dar o voto a nenhum dos candidatos na disputa",lavar as mãos
0,"Os leões eram rivais resistentes, porém já foi registrado um urso dominar 4 leoas e ainda matar um leão de 320kg em contraste com o urso que pesava 480kg",matar um leão
1,"Se você acredita na velha frase de que, no Brasil, é preciso matar um leão por dia, ponha-se no lugar de Tarzan",matar um leão
0,"O inseto mordeu a isca! Venha, aranha! Vou esmagar você com uma brisa",morder a isca
1,"O prefeito talvez não morda a isca, até porque tem a oportunidade de forçar sua mão mais à frente na disputa",morder a isca
0,Ela vai rir sem mostrar os dentes e ainda fará cara de quem está se lembrando de algo,mostrar os dentes
1,O nerd meiguinho mostrou os dentes esta semana quando o ator Simon Pegg criticou os filmes de super-heróis como infantis e sugeriu que a indústria do cinema havia emburrecido,mostrar os dentes
0,"Todo mundo quer passar a mão no cabelo dela, é como se fosse uma princesa.",passar a mão
1,Não serei passivo a tudo isso não. Não vou passar a mão na cabeça de ninguém,passar a mão
0,Fábio não tem bandana para por na cabeça,pôr na cabeça
1,Hilary põe na cabeça que as coisas podem ser diferentes,pôr na cabeça
0,"Após pular a cerca de arame farpado, chegaram ao mar e, com botes e coletes improvisados com capas de chuva, encararam as águas da baía",pular a cerca
